R;N;ln(N)/ln(R)
1283;10736918725;3,23
1284;10762036765;3,23
1285;10787208457;3,23
1286;10812396313;3,23
1287;10837638681;3,23
1288;10862915051;3,23
1289;10888226435;3,23
1290;10913590577;3,23
1291;10938989201;3,23
1292;10964411795;3,23
1293;10989892361;3,23
1294;11015400263;3,23
1295;11040959581;3,23
1296;11066546343;3,23
1297;11092183905;3,23
1298;11117848159;3,23
1299;11143559947;3,23
1300;11169316529;3,23
1301;11195099943;3,23
1302;11220941051;3,23
1303;11246806825;3,23
1304;11272716797;3,23
1305;11298671331;3,23
1306;11324652065;3,23
1307;11350686061;3,23
1308;11376752369;3,23
1309;11402865485;3,23
1310;11429020151;3,23
1311;11455196485;3,23
1312;11481426333;3,23
1313;11507695395;3,23
1314;11534000489;3,23
1315;11560362749;3,23
1316;11586743833;3,23
1317;11613170257;3,23
1318;11639632733;3,23
1319;11666149825;3,23
1320;11692691833;3,23
1321;11719286043;3,23
1322;11745923047;3,23
1323;11772586449;3,23
1324;11799302171;3,23
1325;11826052923;3,23
1326;11852834333;3,23
1327;11879678291;3,23
1328;11906543703;3,23
1329;11933455975;3,23
1330;11960405355;3,23
1331;11987402315;3,23
1332;12014434947;3,23
1333;12041515387;3,23
1334;12068640117;3,23
1335;12095787803;3,23
1336;12122980419;3,23
1337;12150224563;3,23
1338;12177502315;3,23
1339;12204825231;3,23
1340;12232178775;3,23
1341;12259582179;3,23
1342;12287018777;3,23
1343;12314499189;3,23
1344;12342022893;3,23
1345;12369595821;3,23
1346;12397203263;3,23
1347;12424840387;3,23
1348;12452532267;3,23
1349;12480263593;3,23
1350;12508029769;3,23
1351;12535842367;3,23
1352;12563698825;3,23
1353;12591591003;3,23
1354;12619522825;3,23
1355;12647503505;3,23
