R;N;ln(N)/ln(R)
270;100275313;3,29
271;101391649;3,29
272;102517579;3,29
273;103653053;3,29
274;104796295;3,29
275;105945555;3,29
276;107103285;3,29
277;108272589;3,29
278;109446243;3,29
279;110631389;3,29
280;111822665;3,29
281;113025503;3,29
282;114235423;3,29
283;115454483;3,29
284;116680537;3,29
285;117917335;3,29
286;119162513;3,29
287;120415669;3,29
288;121676189;3,29
289;122946595;3,29
290;124227073;3,29
291;125516343;3,28
292;126812687;3,28
293;128120435;3,28
294;129434967;3,28
295;130758805;3,28
296;132092505;3,28
297;133434513;3,28
298;134785733;3,28
299;136147071;3,28
300;137515913;3,28
301;138894429;3,28
302;140280877;3,28
303;141678555;3,28
304;143084829;3,28
305;144501655;3,28
306;145925237;3,28
307;147359081;3,28
308;148803073;3,28
309;150256107;3,28
310;151718709;3,28
311;153191057;3,28
312;154671951;3,28
313;156162625;3,28
314;157663219;3,28
315;159176095;3,28
316;160692523;3,28
317;162224025;3,28
318;163761165;3,28
319;165308631;3,28
320;166868513;3,28
321;168434617;3,28
322;170013633;3,28
323;171603455;3,28
324;173197747;3,28
325;174807811;3,28
326;176423063;3,28
327;178053093;3,28
328;179690115;3,28
329;181336517;3,28
330;182995413;3,28
331;184661195;3,28
332;186339263;3,28
333;188025447;3,28
334;189725233;3,28
335;191433243;3,28
336;193149717;3,28
337;194878853;3,28
338;196616617;3,28
339;198365813;3,28
340;200126243;3,28
341;201895555;3,28
342;203676335;3,28
343;205466719;3,28
344;207267393;3,28
345;209080907;3,28
346;210901845;3,28
347;212734343;3,28
348;214577865;3,28
349;216432533;3,28
350;218295235;3,28
351;220171075;3,28
352;222057297;3,28
353;223952867;3,28
354;225860625;3,28
355;227779071;3,28
356;229708015;3,28
357;231648391;3,28
358;233599521;3,28
359;235562271;3,28
360;237530819;3,27
361;239517129;3,27
362;241509291;3,27
363;243518427;3,27
364;245533263;3,27
365;247560629;3,27
366;249599639;3,27
367;251651897;3,27
368;253713265;3,27
369;255784045;3,27
370;257871061;3,27
371;259965635;3,27
372;262071111;3,27
373;264189111;3,27
374;266316243;3,27
375;268458151;3,27
376;270610577;3,27
377;272773309;3,27
378;274949217;3,27
379;277135119;3,27
380;279332971;3,27
381;281542555;3,27
382;283762193;3,27
383;285997235;3,27
384;288239825;3,27
385;290500053;3,27
386;292767851;3,27
387;295045735;3,27
388;297337577;3,27
389;299642689;3,27
390;301958439;3,27
391;304283031;3,27
392;306624151;3,27
393;308974723;3,27
394;311337581;3,27
395;313714427;3,27
396;316096259;3,27
397;318500771;3,27
398;320910381;3,27
399;323335407;3,27
400;325768523;3,27
401;328215197;3,27
402;330679261;3,27
403;333151897;3,27
404;335636891;3,27
405;338132541;3,27
406;340643791;3,27
407;343165115;3,27
408;345695069;3,27
409;348245081;3,27
410;350804113;3,27
411;353375247;3,27
412;355959571;3,27
413;358555705;3,27
414;361164097;3,27
415;363787153;3,27
416;366423025;3,27
417;369068507;3,27
418;371725881;3,27
419;374400351;3,27
420;377084551;3,27
421;379787521;3,27
422;382498675;3,27
423;385222791;3,27
424;387958655;3,27
425;390708779;3,27
426;393472293;3,27
427;396247845;3,27
428;399037805;3,27
429;401838419;3,27
430;404653061;3,27
431;407481233;3,27
432;410318591;3,27
433;413177177;3,27
434;416046443;3,27
435;418928961;3,27
436;421819093;3,27
437;424726965;3,27
438;427648673;3,27
439;430581475;3,27
440;433530959;3,27
441;436492829;3,27
442;439465717;3,27
443;442453927;3,27
444;445453733;3,27
445;448468773;3,27
446;451498227;3,27
447;454541779;3,27
448;457597075;3,27
449;460664097;3,27
450;463747479;3,27
451;466845655;3,27
452;469957233;3,26
453;473082197;3,26
454;476218989;3,26
455;479374093;3,26
456;482536231;3,26
457;485718403;3,26
458;488911333;3,26
459;492119797;3,26
460;495341509;3,26
461;498576891;3,26
462;501825563;3,26
463;505088191;3,26
464;508367675;3,26
465;511665057;3,26
466;514965505;3,26
467;518287991;3,26
468;521620143;3,26
469;524972655;3,26
470;528335717;3,26
471;531712815;3,26
472;535105969;3,26
473;538513127;3,26
474;541933153;3,26
475;545370869;3,26
476;548819925;3,26
477;552285837;3,26
478;555761679;3,26
479;559254799;3,26
480;562760981;3,26
481;566286595;3,26
482;569825669;3,26
483;573377037;3,26
484;576944069;3,26
485;580522831;3,26
486;584120693;3,26
487;587732343;3,26
488;591359327;3,26
489;595001101;3,26
490;598659141;3,26
491;602327273;3,26
492;606012089;3,26
493;609714015;3,26
494;613430935;3,26
495;617162459;3,26
496;620909883;3,26
497;624670885;3,26
498;628445533;3,26
499;632237967;3,26
500;636041729;3,26
501;639867681;3,26
502;643701201;3,26
503;647553997;3,26
504;651421199;3,26
505;655308501;3,26
506;659206355;3,26
507;663117691;3,26
508;667050999;3,26
509;670996489;3,26
510;674959161;3,26
511;678931261;3,26
512;682924247;3,26
513;686931873;3,26
514;690955501;3,26
515;694994841;3,26
516;699048257;3,26
517;703119695;3,26
518;707203079;3,26
519;711303739;3,26
520;715424801;3,26
521;719556843;3,26
522;723705463;3,26
523;727869987;3,26
524;732052291;3,26
525;736251041;3,26
526;740464075;3,26
527;744693525;3,26
528;748936371;3,26
529;753202199;3,26
530;757478655;3,26
531;761769453;3,26
532;766083281;3,26
533;770409243;3,26
534;774746275;3,26
535;779110293;3,26
536;783481577;3,26
537;787876025;3,26
538;792281303;3,26
539;796708711;3,26
540;801146885;3,26
541;805604945;3,26
542;810076537;3,26
543;814566705;3,26
544;819073513;3,26
545;823596245;3,26
546;828138881;3,26
547;832695701;3,26
548;837267015;3,26
549;841859923;3,26
550;846464879;3,26
551;851089591;3,26
552;855728977;3,26
553;860387211;3,26
554;865060843;3,26
555;869750857;3,26
556;874457245;3,26
557;879185129;3,26
558;883924619;3,26
559;888683863;3,26
560;893458211;3,26
561;898249375;3,26
562;903060553;3,26
563;907891647;3,26
564;912733245;3,26
565;917596533;3,26
566;922476363;3,26
567;927371309;3,26
568;932283125;3,26
569;937214917;3,26
570;942162653;3,26
571;947130439;3,26
572;952109765;3,26
573;957110531;3,26
574;962126383;3,26
575;967165217;3,26
576;972215527;3,26
577;977284917;3,25
578;982374981;3,25
579;987478583;3,25
580;992601585;3,25
581;997745931;3,25
582;1002903847;3,25
583;1008081539;3,25
584;1013274873;3,25
585;1018486777;3,25
586;1023714473;3,25
587;1028965719;3,25
588;1034229153;3,25
589;1039509503;3,25
590;1044815707;3,25
591;1050130701;3,25
592;1055469017;3,25
593;1060825627;3,25
594;1066200281;3,25
595;1071593109;3,25
596;1076999925;3,25
597;1082427849;3,25
598;1087876861;3,25
599;1093337995;3,25
600;1098821457;3,25
601;1104322329;3,25
602;1109844567;3,25
603;1115382869;3,25
604;1120936507;3,25
605;1126513427;3,25
