Simulated annealing: Cycle 1

Iter         T              F        Inc    Acc
 137    4.5669E-001    9.2285E-001   113    37
 138    4.1102E-001    1.2021E+000   117    34
 139    3.6992E-001    9.8655E-001   117    49
 140    3.3293E-001    1.0899E+000    98    43
 141    2.9963E-001    8.2400E-001   110    35
 142    2.6967E-001    7.9167E-001   118    39
 143    2.4270E-001    1.1342E+000   111    35
 144    2.1843E-001    8.0413E-001   117    41
 145    1.9659E-001    1.9674E+000   109    36
 146    1.7693E-001    1.1526E+000   112    31
 147    1.5924E-001    8.1850E-001   118    36
 148    1.4331E-001    7.9242E-001   109    46
 149    1.2898E-001    7.3542E-001   122    31
 150    1.1608E-001    6.3882E-001   124    31
 151    1.0448E-001    6.3052E-001   107    35
 152    9.4028E-002    5.3840E-001   115    37
 153    8.4625E-002    7.4447E-001   115    42
 154    7.6163E-002    5.5918E-001   110    32
 155    6.8546E-002    5.1353E-001   114    34
 156    6.1692E-002    4.9653E-001   118    40
 157    5.5523E-002    4.4716E-001   110    34
 158    4.9970E-002    2.2521E-001   103    35
 159    4.4973E-002    1.7683E-001   110    32
 160    4.0476E-002    1.0239E-002   111    30
 161    3.6428E-002    1.0594E-001   111    44
 162    3.2786E-002    3.8756E-002   117    35
 163    2.9507E-002    1.1859E-002   122    48
 164    2.6556E-002    4.6655E-002   114    34
 165    2.3901E-002    4.0237E-002   110    39
 166    2.1511E-002    5.0317E-002   121    47
 167    1.9360E-002    2.0393E-002   111    34
 168    1.7424E-002    5.8855E-003   107    48
 169    1.5681E-002    1.1903E-005   113    33
 170    1.4113E-002    1.4075E-004   117    39
 171    1.2702E-002    3.5314E-003   108    34
 172    1.1432E-002    1.6890E-002   107    39
 173    1.0288E-002    1.1895E-003   115    30
 174    9.2596E-003    1.1351E-002   110    35
 175    8.3336E-003    2.3423E-002   113    44
 176    7.5003E-003    1.3305E-002   119    38
 177    6.7503E-003    4.3064E-004   103    38
 178    6.0752E-003    3.7874E-003   118    40
 179    5.4677E-003    6.5602E-003   110    27
 180    4.9209E-003    3.2574E-003   111    35
 181    4.4288E-003    7.4056E-003   119    34
 182    3.9860E-003    2.1752E-003   112    39
 183    3.5874E-003    2.6679E-003   116    40
 184    3.2286E-003    1.2679E-004   114    37
 185    2.9058E-003    5.3466E-004   114    43
 186    2.6152E-003    6.5055E-003   114    32
 187    2.3537E-003    3.9285E-003   117    42
 188    2.1183E-003    6.5684E-004   112    39
 189    1.9065E-003    6.2889E-003   107    39
 190    1.7158E-003    6.4277E-004   110    34
 191    1.5442E-003    2.4716E-003   111    26
 192    1.3898E-003    1.6378E-004   113    34
 193    1.2508E-003    1.0836E-003   116    45
 194    1.1258E-003    8.4595E-004   117    42
 195    1.0132E-003    6.3489E-004   115    33
 196    9.1186E-004    1.5732E-003   112    36
 197    8.2067E-004    6.2418E-004   114    37
 198    7.3861E-004    8.4036E-004   111    39
 199    6.6475E-004    1.0186E-003   119    36
 200    5.9827E-004    1.7199E-004   113    34
 201    5.3844E-004    9.9951E-005   116    33
 202    4.8460E-004    1.2306E-004   108    48
 203    4.3614E-004    2.4201E-004   116    32
 204    3.9253E-004    4.5124E-004   107    34
 205    3.5327E-004    1.5943E-004   110    32
 206    3.1795E-004    2.9070E-004   116    34
 207    2.8615E-004    1.6557E-004   113    37
 208    2.5754E-004    5.6772E-004   107    34
 209    2.3178E-004    3.1545E-004   115    32
 210    2.0860E-004    6.4457E-004   107    39
 211    1.8774E-004    2.0158E-005   108    37
 212    1.6897E-004    8.6115E-005   117    37
 213    1.5207E-004    9.5187E-006   113    38
 214    1.3687E-004    9.4779E-005   111    42
 215    1.2318E-004    4.9123E-005   112    31
 216    1.1086E-004    6.5905E-005   118    31
 217    9.9775E-005    1.2059E-004   114    36
 218    8.9797E-005    4.3120E-005   113    43
 219    8.0818E-005    6.7051E-005   112    34
 220    7.2736E-005    1.1653E-004   110    41
 221    6.5462E-005    2.1245E-005   109    31
 222    5.8916E-005    8.4647E-005   113    36
 223    5.3024E-005    1.4312E-004   115    38
 224    4.7722E-005    9.1865E-006   116    35
 225    4.2950E-005    2.9177E-005   111    36
 226    3.8655E-005    5.0419E-005   111    34
 227    3.4789E-005    3.7055E-005   116    38
 228    3.1310E-005    4.5871E-006   115    39
 229    2.8179E-005    7.8821E-006   110    36
 230    2.5361E-005    1.9650E-006   113    41
