Simulated annealing: Cycle 1

Iter         T              F        Inc    Acc
 599    3.3087E-022    1.3104E-022   113    30
 600    2.9778E-022    2.1673E-022   115    41
 601    2.6801E-022    2.2442E-022   108    39
 602    2.4121E-022    3.4903E-023   119    34
 603    2.1708E-022    1.6116E-022   117    40
 604    1.9538E-022    2.1673E-022   113    42
 605    1.7584E-022    1.1798E-023   116    36
 606    1.5825E-022    2.1080E-022   113    40
 607    1.4243E-022    1.5035E-023   109    29
 608    1.2819E-022    1.0154E-022   105    44
 609    1.1537E-022    2.6427E-024   119    29
 610    1.0383E-022    6.4385E-024   106    44
 611    9.3448E-023    4.3796E-023   120    36
 612    8.4103E-023    1.6198E-022   112    36
 613    7.5693E-023    2.3012E-023   106    32
 614    6.8123E-023    7.2237E-023   120    41
 615    6.1311E-023    1.3479E-022   115    40
 616    5.5180E-023    1.1037E-022   120    37
 617    4.9662E-023    1.6594E-023   114    34
 618    4.4696E-023    1.4917E-023   110    39
 619    4.0226E-023    5.7764E-023   122    40
 620    3.6204E-023    1.1515E-023   109    35
 621    3.2583E-023    9.1738E-024   119    40
 622    2.9325E-023    1.5779E-024   117    34
 623    2.6392E-023    1.4626E-023   108    35
 624    2.3753E-023    1.6129E-023   108    37
 625    2.1378E-023    1.7794E-024   115    30
 626    1.9240E-023    2.6292E-024   109    32
 627    1.7316E-023    7.0193E-024   108    43
 628    1.5584E-023    5.2626E-023   111    31
 629    1.4026E-023    6.0813E-023   112    40
 630    1.2623E-023    4.2407E-024   113    35
 631    1.1361E-023    4.0537E-024   115    37
 632    1.0225E-023    3.1420E-024   114    36
 633    9.2025E-024    5.7652E-025   111    39
 634    8.2822E-024    4.8167E-025   115    34
 635    7.4540E-024    1.1651E-024   119    38
 636    6.7086E-024    1.5181E-024   113    35
 637    6.0377E-024    7.0815E-024   113    35
 638    5.4340E-024    9.5498E-024   108    39
 639    4.8906E-024    5.9983E-025   120    27
 640    4.4015E-024    3.3666E-024   106    42
 641    3.9614E-024    2.1005E-025   114    42
 642    3.5652E-024    8.1439E-025   114    42
 643    3.2087E-024    7.3878E-025   114    37
 644    2.8878E-024    6.1739E-025   109    39
 645    2.5990E-024    9.2644E-025   119    41
 646    2.3391E-024    9.9042E-025   111    31
 647    2.1052E-024    2.7433E-024   115    37
 648    1.8947E-024    2.9354E-024   109    39
 649    1.7052E-024    1.3879E-024   117    33
 650    1.5347E-024    2.6420E-025   105    43
 651    1.3812E-024    4.9060E-025   114    32
 652    1.2431E-024    1.0481E-025   112    35
 653    1.1188E-024    9.0939E-025   108    39
 654    1.0069E-024    6.2944E-025   114    39
 655    9.0623E-025    1.3414E-024   110    38
 656    8.1561E-025    7.9636E-025   114    40
 657    7.3405E-025    8.7352E-025   108    38
 658    6.6064E-025    2.5572E-024   117    32
 659    5.9458E-025    1.3813E-024   117    34
 660    5.3512E-025    1.3862E-024   115    42
 661    4.8161E-025    1.1558E-024   114    42
 662    4.3345E-025    6.9855E-025   112    36
 663    3.9010E-025    3.8840E-025   116    38
 664    3.5109E-025    2.2012E-025   112    36
 665    3.1598E-025    5.7392E-026   111    40
 666    2.8439E-025    4.4091E-025   114    41
 667    2.5595E-025    2.5630E-026   113    30
 668    2.3035E-025    8.3077E-026   115    41
 669    2.0732E-025    3.5392E-025   108    44
 670    1.8659E-025    4.8149E-026   116    38
 671    1.6793E-025    1.5934E-025   113    35
 672    1.5113E-025    2.7866E-026   102    33
 673    1.3602E-025    1.5497E-025   119    36
 674    1.2242E-025    2.7294E-025   115    43
 675    1.1018E-025    2.2000E-026   110    36
 676    9.9159E-026    2.9592E-026   116    38
 677    8.9243E-026    1.7940E-025   117    40
 678    8.0319E-026    8.3191E-026   111    30
 679    7.2287E-026    4.6107E-025   117    42
 680    6.5058E-026    4.8680E-026   109    36
 681    5.8552E-026    2.0858E-026   115    32
 682    5.2697E-026    9.6450E-027   110    34
 683    4.7427E-026    1.1941E-026   118    38
 684    4.2685E-026    5.1912E-026   118    40
 685    3.8416E-026    5.3941E-026   110    39
 686    3.4575E-026    1.2663E-026   117    39
 687    3.1117E-026    3.7960E-026   115    37
 688    2.8005E-026    1.2774E-025   124    45
 689    2.5205E-026    4.2588E-026   110    29
 690    2.2684E-026    1.9125E-026   121    31
 691    2.0416E-026    5.0390E-027   106    36
 692    1.8374E-026    1.1937E-026   109    36
 693    1.6537E-026    3.7320E-026   114    39
 694    1.4883E-026    8.7453E-027   114    38
 695    1.3395E-026    1.7621E-026   118    41
 696    1.2055E-026    9.4140E-028   110    39
 697    1.0850E-026    3.4945E-027   113    45
 698    9.7649E-027    6.4523E-027   112    37
 699    8.7884E-027    1.3902E-028   111    32
 700    7.9096E-027    1.9303E-026   110    45
 701    7.1186E-027    1.1102E-026   113    35
 702    6.4067E-027    1.2413E-026   116    41
 703    5.7661E-027    1.4617E-026   109    39
 704    5.1895E-027    4.1740E-027   112    34
 705    4.6705E-027    3.5681E-027   113    35
 706    4.2035E-027    5.1500E-028   107    29
 707    3.7831E-027    2.8851E-027   112    40
 708    3.4048E-027    6.1139E-028   108    34
 709    3.0643E-027    9.9160E-029   114    36
 710    2.7579E-027    3.8020E-027   116    47
 711    2.4821E-027    3.0089E-027   109    37
 712    2.2339E-027    7.9955E-027   116    34
 713    2.0105E-027    2.6973E-028   113    30
 714    1.8095E-027    7.5274E-028   110    40
 715    1.6285E-027    2.9490E-027   122    40
 716    1.4657E-027    5.4054E-028   108    43
 717    1.3191E-027    1.3552E-027   117    36
 718    1.1872E-027    1.5706E-027   116    31
 719    1.0685E-027    1.5232E-027   121    45
 720    9.6162E-028    4.7846E-028   111    38
 721    8.6546E-028    2.5625E-028   107    37
 722    7.7891E-028    1.1701E-027   115    34
 723    7.0102E-028    2.5615E-029   112    32
 724    6.3092E-028    9.1092E-028   112    36
 725    5.6783E-028    1.2053E-028   111    44
 726    5.1104E-028    3.0929E-029   112    37
 727    4.5994E-028    4.2763E-028   113    41
 728    4.1395E-028    5.2259E-028   116    42
 729    3.7255E-028    1.1645E-028   120    45
 730    3.3530E-028    2.4156E-028   121    41
 731    3.0177E-028    1.3088E-027   119    43
 732    2.7159E-028    1.2890E-027   114    41
 733    2.4443E-028    2.8331E-028   114    40
 734    2.1999E-028    4.9193E-028   120    40
 735    1.9799E-028    3.8206E-029   114    29
 736    1.7819E-028    4.1720E-031   111    40
